id;type;x;y;dist;mag;spec
HD 147512;pm;245.6363;-4.2492;83.04;7.3;G8/K0V
G 240-38;pm;254.6822;68.8979;83.04;~;M1.5Ve
LAWD 80;wd;302.573;-21.7794;83.04;14.6;DA5.0
LP 826-143;wd;12.7953;-20.4656;83.06;~;DC9
G 125-42;pm;298.3863;34.1413;83.06;11.6;M1.5Ve
PM J10094+5424;pm;152.3615;54.4068;83.06;12.0;M2.0Ve
StKM 1-1876;dbl;319.4006;-8.9031;83.07;12.1;M1
PM J20220+2147B;pm;305.5082;21.79;83.07;~;~
HD 1388;pm;4.4953;-13.4556;83.08;6.5;G0V
G 268-104;pm;15.951;-16.9975;83.08;13.9;~
BD+33 3936;pm;307.8836;33.7759;83.08;9.2;K4V
HD 26018;pm;63.8072;76.288;83.09;~;G5
HD 237266;pm;67.1528;56.4203;83.10;9.1;K2V
DO 5632;pm;290.2068;3.2106;83.12;11.7;M0
LP 565-16;pm;247.0717;7.6219;83.12;~;~
G 123-10;pm;182.7629;40.73;83.13;~;~
G 191-32;pm;80.2927;55.7642;83.13;~;M3.40
Ross 499;pm;221.7686;-12.7408;83.13;12.1;K7V
UPM J1727-6239;pm;261.7512;-62.6637;83.13;~;~
G 123-16;pm;183.8683;39.1874;83.15;~;M1.5Ve
SIPS J2107-3357;pm;316.8531;-33.9593;83.15;~;M5.5
Gaia EDR3 6350786278796634112;pm;358.5809;-81.6847;83.16;~;~
HD 11130;pm;27.5328;29.4646;83.18;8.1;G9V
V* V443 And;by;17.6746;42.9318;83.18;~;G7V
UCAC4 225-007620;pm;89.5685;-45.0322;83.19;14.9;~
LP 559-169;pm;267.5362;-33.9041;83.19;13.5;~
PM J14013-0733;pm;210.3461;-7.5633;83.19;14.2;~
LEHPM 1029;pm;12.8443;-22.8589;83.19;~;M8
PM J20220+2147;pm;305.5067;21.7894;83.19;11.9;M2.0Ve
UCAC4 541-082076;Star;282.9831;18.0916;83.19;~;~
UCAC4 383-008382;pm;81.2906;-13.5901;83.19;~;~
G 253-53;pm;174.5727;81.8088;83.20;~;M0.5Ve
LP 30-95;wd;32.9507;71.3204;83.20;~;DC
LP 139-6;pm;262.6165;52.7166;83.20;~;~
SIPS J1241-3153;low;190.4802;-31.8832;83.21;~;M6.5e
GD 175;wd;226.4555;-7.2447;83.21;15.9;DAH7.3
* 9 Aur B;pm;76.6713;51.5981;83.22;~;MV
WT 248;pm;151.4789;-67.3587;83.22;~;M3V
LP 576-34;pm;316.4849;4.428;83.22;12.2;M2.5Ve
HD 146413B;pm;243.9881;7.3579;83.23;9.7;K5V
L 469-72;pm;181.1524;-38.2736;83.23;11.8;M1V
Gaia DR2 1938960722332184704;Star;355.6959;46.1506;83.23;~;~
LP 744-46;pm;240.6462;-14.6437;83.24;~;M1.5
HD 45977;pm;97.5304;-11.8089;83.24;9.1;K4+Vk:
Wolf 830;pm;273.4216;21.0946;83.24;~;M3.5:
CD-22 3005;pm;95.4742;-22.7234;83.25;10.7;M1Vk
HD 6378;pm;16.1006;-25.605;83.25;9.7;K5+Vk:
G 145-29;pm;318.698;16.0805;83.26;13.4;M3.5V
UPM J2100+1523;pm;315.126;15.3873;83.26;~;~
G 145-29B;pm;318.6985;16.0808;83.26;~;~
PM J13046+1321S;pm;196.1567;13.3523;83.26;~;~
* 15 Peg;pm;328.1247;28.7935;83.26;5.5;F2V
SIPS J1326-3614;pm;201.5699;-36.243;83.27;~;~
2MASS J04430760-4128575;pm;70.7817;-41.4825;83.27;~;M4.5
HD 146413A;pm;243.9878;7.357;83.27;9.4;K4V
G 141-10;pm;276.6025;11.3493;83.27;12.9;M3.5Ve
LSPM J1826+1120S;wd;276.6018;11.3471;83.27;~;DA
* 9 Aur;Variable Star of gamma Dor type;76.6693;51.5977;83.27;~;F2V
LP 815-1;pm;305.0297;-19.6508;83.28;12.3;~
HD 181433;pm;291.2899;-66.4688;83.28;8.4;K3III-IV
G 88-36A;pm;113.012;17.3194;83.29;10.9;~
Gaia EDR3 4380188694219651456;pm;256.1165;-0.8406;83.30;~;~
G 6-4;pm;51.0508;21.8468;83.30;~;~
HD 147365;pm;244.9798;39.7086;83.31;5.5;F4V
G 48-10;pm;140.9691;0.1382;83.31;13.6;M1.0Ve
2MASS J13543964+5044510;bd;208.6651;50.7475;83.31;~;L1
UCAC4 032-011214;pm;277.0259;-83.6304;83.32;14.6;~
Gaia EDR3 5692638306546374016;Star;123.23;-29.4337;83.33;~;~
G 64-52;dbl;213.0458;-0.5844;83.33;13.0;M3.5
HD 189087;pm;299.3059;29.824;83.33;~;G8
LP 772-62;pm;51.3396;-16.2376;83.33;15.6;M4.5
L 752-53;pm;155.2837;-17.7272;83.35;11.3;M0.5Vk:
StKM 1-1953;pm;328.2802;28.8376;83.35;11.5;M0
HD 158259;pm;261.3502;52.7907;83.36;6.5;G0
HD 136894;Star;231.0101;-27.3052;83.36;7.5;G8+V
HD 10800;dbl*;24.4815;-82.975;83.37;5.9;G1V
UCAC4 519-067363;pm;267.0596;13.6299;83.37;15.4;~
* 54 Cas;pm;32.2844;71.552;83.37;~;F8
RX J0251.8+2227;pm;42.9754;22.4583;83.37;13.3;dM4.0
LP 907-10;pm;174.711;-28.7085;83.38;18.2;M6.5e
2MASS J06475637+3414462;Star;101.9849;34.2462;83.38;~;~
LP 198-260;pm;47.877;43.1908;83.39;~;~
HD 41742B;pm;91.1658;-45.0802;83.39;8.9;K4.5Vk:
HD 187923;pm;298.0143;11.6283;83.39;~;G0V
L 492-103 A;pm;293.1509;-39.3527;83.39;~;~
HD 69655;pm;123.8551;-52.0603;83.39;6.6;G1V
HD 151188;dbl;250.9844;43.4753;83.40;8.8;K5
* 11 Aqr;pm;315.141;-4.7303;83.40;6.2;G1V
LP 47-14;pm;313.1386;73.2755;83.41;~;~
LP 921-20;pm;266.961;-30.6527;83.42;13.6;M4
2MASS J18544597+8429470;low;283.6912;84.4964;83.42;~;M9
2MASS J05171315-7706040;pm;79.3043;-77.1011;83.42;~;~
UPM J1556-6905;pm;239.1247;-69.0931;83.42;15.6;~
UCAC4 402-128582;pm;330.9444;-9.6448;83.42;~;~
HD 173701;pm;281.1463;43.8333;83.43;7.5;G8V
PM J09527-5404;pm;148.1886;-54.0711;83.43;14.3;~
G 46-30A;pm;138.5003;0.3113;83.43;~;~
G 69-33;pm;14.117;22.796;83.43;~;~
UPM J0929-4910;pm;142.2673;-49.1756;83.44;13.9;~
LP 984-80;pm;340.4209;-32.9802;83.44;~;M5.5V
LP 153-14;wd;34.6645;50.2309;83.44;~;DA
PM J09108+3127;pm;137.7012;31.4574;83.44;13.8;~
PM J08126+1737;wd;123.1575;17.6171;83.45;13.5;DA
PM J08441-2229;pec;131.0465;-22.499;83.45;11.3;M1
LP 684-3;pm;239.1727;-4.2391;83.46;~;M1.5Vk
G 133-8;wd;21.0899;40.3995;83.46;~;DA
2MASS J06050115+6427485;pm;91.2548;64.4635;83.46;~;~
Gaia EDR3 2926944659464115328;pm;102.0277;-20.9776;83.46;~;~
G 107-14;pm;99.6552;39.4036;83.46;14.2;~
* 1 Hya;dbl*;126.1459;-3.7512;83.47;5.6;F6V
* 1 Hya B;low;126.1407;-3.7429;83.47;~;M4.5
G 128-35;pm;347.1437;29.3459;83.48;~;M4.5Ve
UPM J1213-6907;pm;183.3196;-69.1177;83.48;12.2;~
UCAC4 317-232819;Star;312.2769;-26.6576;83.48;~;~
V* V478 Lyr;rs;286.8849;30.2545;83.49;~;G6V
G 246-12;pm;42.5685;62.8555;83.49;~;M2.5V
L 900-43;pm;172.002;-9.1824;83.50;14.5;M2
* tau03 Eri;pm;45.5979;-23.6245;83.51;4.1;A3IV-V
LP 557-69;pm;201.2941;3.898;83.52;~;M3.20
LTT 3835A;pm;156.6594;-16.8552;83.52;~;~
PM J11072+4851;pm;166.8037;48.8518;83.52;12.1;~
2MASS J19073307+3015304;pm;286.8879;30.2585;83.53;~;~
2MASS J18465889-7748271;pm;281.7454;-77.8075;83.53;~;~
LTT 3835B;pm;156.6602;-16.8547;83.54;~;~
LP 332-33;pm;262.9383;30.9347;83.54;~;M4.5Ve
G 67-21;pm;341.9122;18.4437;83.54;~;M2.5V
LP 747-19;pm;259.4355;-11.8074;83.55;12.9;M3
UCAC4 416-086750;pm;280.6196;-6.9553;83.55;~;~
HD 233357;pm;108.3659;52.6574;83.55;9.0;K3V
2MASS J16082459+1957473;low;242.1026;19.9632;83.56;~;M9V
HD 89813;pm;155.5395;11.3102;83.56;~;G9V
2MASS J09071993-4308473;pm;136.8331;-43.1466;83.56;~;~
PM J14412-0659;pm;220.3136;-6.9859;83.58;13.4;~
G 50-25;pm;123.5234;15.1911;83.58;~;~
LP 17-44;pm;112.3276;75.9008;83.58;~;M5.5
HD 42286;pm;91.5147;-59.5432;83.59;8.5;K1V
2MASS J14472425-3158091;pm;221.8512;-31.9692;83.59;~;~
SIPS J2243-5932;bd;340.8207;-59.539;83.61;~;L0::
Ross 34;low;52.2214;37.3824;83.61;11.1;esdK7
UCAC4 374-166946;pm;296.1336;-15.2916;83.61;~;~
LP 661-13;dbl*;104.0789;-8.5963;83.61;14.0;M3.5
LP 353-51;pm;35.861;22.7352;83.62;11.3;M1V
HD 97998;pm;168.9542;-39.3235;83.62;7.4;G1V
UCAC4 384-132550;pm;287.6899;-13.3011;83.62;~;~
2MASS J08352366+1029318;low;128.8486;10.4922;83.63;~;M7.9V
GD 419;wd;25.37;83.583;83.63;~;DA2.6
BD+55 1142;pm;103.9672;55.6387;83.63;10.2;K7V
LSPM J0948+2826;pm;147.2154;28.4383;83.63;~;~
2MASS J02121630+2433214;pm;33.068;24.5559;83.63;~;~
G 88-37;pm;113.129;24.8947;83.64;~;M3.0Ve
Ross 788;pm;20.3724;24.3306;83.65;~;M0V
Gaia EDR3 6735308241178655872;Brown Dwarf Candidate;281.9459;-34.3263;83.65;~;~
UPM J2012+2605;pm;303.1065;26.0965;83.66;~;~
HD 172393;pm;279.5082;42.6652;83.67;~;K1
HD 6440B;pm;16.374;15.3885;83.67;~;K7Ve
2MASS J00575326-1028004;pm;14.4719;-10.4669;83.67;~;~
G 178-34;pm;218.0383;44.0028;83.68;~;M3.5Ve
LAWD 64;wd;252.6848;-32.8231;83.68;16.2;DA8.5
G 156-78;pm;345.6509;-9.1576;83.69;~;~
UCAC4 486-058793;pm;224.1655;7.185;83.69;14.9;~
LSR J0959+7533;pm;149.9804;75.5522;83.70;~;~
2MASS J20175647+1114138;pm;304.4853;11.2373;83.73;~;~
L 492-103 B;pm;293.1515;-39.353;83.73;~;~
HD 41700;dbl*;91.1185;-45.0366;83.73;6.4;F8V
2MASS J20221129-3944486;pm;305.5472;-39.7469;83.73;~;~
LSPM J0309+5249;pm;47.4462;52.8327;83.73;~;~
GR* 446;pm;354.2911;-32.6049;83.74;~;~
HG 8-80;pm;65.1999;15.2359;83.74;~;M4.0V
WT 810;pm;326.1443;-41.6568;83.75;16.1;~
LP 777-2;pm;76.9291;-15.1085;83.75;~;M5.5Ve
Gaia DR2 4477291788746834432;Star;277.8996;6.7963;83.76;~;~
L 143-22;pm;161.4612;-60.818;83.76;13.3;~
PM J12307-4622;pm;187.687;-46.3787;83.76;11.7;M3
HD 24331;pm;57.6479;-42.5655;83.76;8.6;K2.5V
SIPS J1615-1246;pm;243.9824;-12.7733;83.77;~;~
G 253-2;pm;119.575;87.961;83.77;~;M4.0
UPM J1928+4801B;Star;292.0905;48.0264;83.78;~;~
LP 961-53;pm;178.5766;-37.5527;83.78;11.5;M1
G 30-26B;pm;357.9371;6.9711;83.79;~;~
HD 4247;pm;11.185;-22.0061;83.79;5.2;F3VFe-1
UCAC4 548-134840;pm;312.8986;19.4006;83.79;14.7;~
Ross 369A;pm;48.6365;59.4379;83.80;~;~
** NSN 351A;pm;246.758;-69.7372;83.80;~;~
LP 221-217;wd;219.1785;43.5429;83.80;~;DC9
G 130-57;pm;3.4561;35.6187;83.80;~;~
2MASS J20140174+2713319;Star;303.5072;27.2255;83.81;~;~
UCAC4 503-002005;pm;20.1889;10.5787;83.81;~;~
UCAC4 088-012896;pm;104.411;-72.4974;83.81;13.5;~
HD 206374;pm;325.2758;26.7507;83.81;~;G6.5V
HD 202108;pm;318.2402;30.8095;83.81;7.3;G3V
BD+58 2015;pm;299.1414;59.1615;83.82;~;K7Ve
UCAC4 172-003419;low;55.4837;-55.7113;83.82;~;M4
SIPS J2049-1944;low;312.3323;-19.7424;83.83;~;M7.5e
EGGR 302;wd;332.4463;14.4964;83.83;~;DA6.6
[HB88] M18;low;319.6324;-45.0979;83.83;~;M8.6V
WT 365;pm;192.8148;-46.3627;83.83;~;~
BD+63 639;pm;93.397;63.3941;83.84;9.7;K8/M0V
HD 55458B;pm;108.4718;25.0109;83.85;~;~
PM J15214+0414;pm;230.3554;4.247;83.85;12.0;M1.5Ve
G 30-45;pm;1.9963;8.0054;83.85;~;M4V
LP 784-12 B;pm;120.514;-17.1713;83.85;~;~
2MASS J11463449+2230527;bd;176.6439;22.515;83.85;~;L3+L4
Gaia EDR3 3323397147633734016;pm;89.0352;8.0438;83.85;~;~
LP 892-22;pm;78.447;-31.3261;83.85;14.5;~
* mu. Dra B;dbl*;256.3342;54.4706;83.87;5.7;F6V
2MASS J18200196+1625564;pm;275.0081;16.4323;83.87;~;~
UCAC3 75-442482;pm;345.6752;-52.8578;83.88;12.4;~
* mu. Dra C;pm;256.3344;54.4666;83.88;11.7;M3:
CD-45 9610;pm;225.7649;-46.2938;83.88;9.9;K5.5Vk:
G 164-59A;pm;199.1183;40.1217;83.89;~;~
HD 68978;pm;123.3937;-31.7354;83.89;6.8;G0.5V
LP 409-52;low;33.2532;18.0626;83.90;~;M4.5
SIPS J0653-4643;pm;103.3129;-46.7216;83.90;~;~
LSPM J1758+3157;pm;269.5008;31.9575;83.91;~;~
CD-27 7881;pm;167.0263;-28.268;83.91;9.3;K6Vk:
SCR J1336-4147;pm;204.2312;-41.7986;83.91;~;~
LP 747-20;pm;259.4388;-11.8151;83.92;~;M3
SCR J0847-3046;pm;131.7904;-30.7701;83.92;~;~
LP 800-24;pm;218.5203;-18.403;83.92;14.3;~
BD+34 1377;Star;97.8939;34.8663;83.93;9.1;K5
* mu. Dra A;pm;256.3338;54.47;83.94;5.7;F6V
LP 272-8;pm;222.8232;33.6296;83.94;~;M5.5Ve
LP 29-188;pm;24.9406;73.709;83.95;~;K5V
PM J05160+1552;pm;79.0085;15.8746;83.95;13.4;~
BD-11 4672;pm;278.3701;-11.636;83.96;10.0;K7V
HD 24331B;pm;57.6483;-42.5648;83.96;~;M4
2MASS J19515834-0655200;pm;297.9931;-6.9223;83.96;~;~
LP 802-7;pm;228.2644;-20.6307;83.96;16.7;M5.5
G 116-72;ev;149.8283;43.8404;83.97;~;M3.5V
PM J22407-7131;pm;340.1786;-71.5196;83.97;10.9;~
LP 93-438;pm;167.9781;56.9582;83.97;~;M2V
LP 771-24;pm;42.2808;-14.6965;83.99;15.2;~
G 230-20;pm;299.1036;59.156;83.99;~;M3.5V
Cl* Melotte 111 AV 839;pm;184.2193;24.8514;84.00;~;M1.5Ve
BD-03 3952;pm;247.6792;-3.9894;84.00;9.6;K5
UCAC4 370-003355;Star;44.4758;-16.1925;84.00;14.0;~
LP 833-4;pm;56.7311;-22.9042;84.00;~;M4.5Ve
LP 587-70;pm;22.6797;2.6103;84.00;~;M6V
UPM J1651-2527;pm;252.8679;-25.4603;84.01;~;~
LEHPM 4113;pm;322.02;-65.1804;84.01;~;~
HD 170209;pm;277.3429;-27.9719;84.02;9.4;K(2)V
LP 926-43;pm;303.2052;-31.5061;84.02;14.9;M4.5
CE 60;pm;134.3151;-27.7971;84.02;15.3;M2.5
G 116-73;ev;149.8372;43.8405;84.03;~;M5V
SIPS J1508-3445;pm;227.2441;-34.7601;84.03;~;~
G 30-26A;pm;357.9365;6.9712;84.03;~;~
HD 43947;Star;94.9174;16.0132;84.05;6.6;F8V
Wolf 1057;low;55.6226;12.526;84.05;12.8;d/sdM1
LSPM J1906+2354;pm;286.7261;23.9039;84.06;~;~
PM J17147-0820;pm;258.6839;-8.3375;84.07;13.3;~
UPM J1700-1936;pm;255.212;-19.6047;84.07;14.5;~
UCAC4 374-166945;pm;296.133;-15.2926;84.07;12.4;~
HD 56124;pm;109.2897;33.0921;84.08;~;G0
HD 6440A;pm;16.3746;15.3901;84.08;9.1;K3.5V
Gaia EDR3 2078105327586616832;pm;295.4403;43.7495;84.08;~;~
LP 65-22;pm;113.4703;22.3926;84.09;~;M4.5
Gaia EDR3 3479243059623564160;pm;177.5096;-31.659;84.10;~;~
DENIS J145709.6-042036;pm;224.2902;-4.3436;84.10;~;~
UPM J1303-6528;pm;195.8998;-65.4728;84.12;13.4;~
HD 196850;pm;309.6675;38.6351;84.12;~;G1V
* 1 Hya C;low;126.2184;-3.6839;84.12;17.2;M5.5Ve
TYC 6339-668-1;Star;310.4922;-19.0738;84.12;10.7;~
G 59-7;pm;183.6084;24.5907;84.12;~;M2.0Ve
2MASS J11224462-6533161;low;170.6859;-65.5545;84.12;~;M8.5
UCAC4 370-061450;pm;175.3067;-16.0311;84.13;~;~
HD 131719;pm;223.9792;-27.1273;84.13;8.9;K3Vk:
V* MS Dra;by;264.9821;65.0016;84.13;8.4;K0V
HD 108564;pm;187.0797;-16.911;84.13;9.5;K5Vmetalweak
CD-33 408B;pm;16.8066;-32.4291;84.14;~;~
L 440-14;pm;34.4884;-35.6054;84.14;12.8;M3
Gaia EDR3 362677900447403520;pm;13.9917;34.0795;84.14;~;~
LSPM J0514+2242;pm;78.5641;22.7162;84.15;~;~
BD-12 4935;pm;272.3886;-12.0389;84.15;10.5;K7
UPM J1848-5018;pm;282.0648;-50.3039;84.16;14.2;~
SIPS J1809-7613;pm;272.2789;-76.2233;84.17;~;M5e
2MUCD 10076;pm;20.2049;-7.6844;84.17;~;M8e
2MASS J02350634+6314325;pm;38.7761;63.2425;84.17;~;~
BD-03 3952B;pm;247.678;-3.9881;84.17;~;~
SIPS J2100-3236;pm;315.0784;-32.6103;84.17;~;~
L 334-33;pm;226.0519;-46.4961;84.18;12.7;~
HD 74842;dbl;131.1875;-42.6345;84.18;7.2;G8V
Ross 585;pm;52.6867;34.0187;84.18;~;sdM0
MCC 516;pm;123.0602;51.9071;84.19;~;K7-V
HD 29587;dbl*;70.4013;42.1185;84.20;7.3;G2V
HD 118036B;pm;203.5682;-0.3141;84.20;8.6;~
CD-59 788;pm;62.1488;-59.5268;84.21;9.7;K5.5Vk:
* ups Cep;dbl*;311.338;57.5797;84.22;~;F8IV-V+F9IV-V
LP 820-30;pm;337.7768;-15.5828;84.22;13.3;~
UCAC4 206-002694;pm;44.348;-48.8436;84.22;~;~
LP 276-33;wd;253.6904;38.4935;84.23;15.9;DZA
SIPS J1121-4024;pm;170.3496;-40.4153;84.23;~;~
HD 112943;pm;195.0708;-2.7048;84.23;9.8;K5.5V
PM J10563+0415;pm;164.0928;4.2628;84.24;12.8;M2.5V
2MASS J06012540-3225168;pm;90.3558;-32.4213;84.24;~;M3.5
BD+29 2228;pm;178.7394;28.7376;84.24;~;K7V
HD 30278;pm;70.807;-54.5934;84.24;7.6;G9V
PM J09040-1555;low;136.0232;-15.9218;84.24;12.8;M2.5V
G 144-64;pm;316.8518;19.8479;84.25;~;M0.5V
2MASS J06193544-5249367;low;94.8977;-52.8269;84.25;~;M9
LSPM J2110+6615;pm;317.5147;66.2506;84.25;~;~
LP 634-24;pm;304.6908;-0.6573;84.26;11.0;M0V
HD 186306;pm;295.4402;43.7477;84.26;8.0;G9V
UPM J1704-5125;pm;256.0779;-51.4326;84.27;~;~
2MASS J08215010+4532019;pm;125.4586;45.5337;84.27;~;M7.5
LSPM J0006+0439;pm;1.6093;4.6532;84.27;~;~
HD 361;Star;2.0682;-14.8245;84.27;7.0;G1V
UPM J1237-8433;pm;189.3285;-84.5635;84.27;14.4;~
CD-36 862;pm;34.4866;-35.6168;84.28;11.6;M1.5V
LSPM J1905+1740;pm;286.2597;17.676;84.28;~;~
G 237-54;pm;183.9353;62.7387;84.28;~;~
G 50-16;pm;120.5953;3.3388;84.28;~;M4V
V* KX Com;ev;194.2197;23.4974;84.29;13.3;M2.5
LP 458-43;pm;327.2809;18.3266;84.29;~;M5.0
Gaia DR2 4143776239543076864;Star;270.4086;-17.6766;84.29;~;~
HD 71974;dbl;127.8961;34.966;84.30;~;G5V
MCC 29;pm;153.7995;39.5376;84.30;~;K4V
LEHPM 3068;pm;46.5072;-26.7955;84.31;18.4;M6e
* 36 Dor;pm;88.5252;-63.0898;84.31;4.7;K2III-IV
APMPM J0446-4233;pm;71.4101;-42.5486;84.31;~;~
UCAC4 383-008489;pm;81.7583;-13.4636;84.32;~;~
UCAC2 1564860;pm;118.4772;-70.3694;84.32;12.0;~
L 360-67;pm;352.3394;-46.782;84.32;14.2;M3:
HD 112099;dbl*;193.4767;6.7629;84.32;~;K1V
G 108-27;pm;101.8646;5.4078;84.33;~;M4.0V
LP 944-102;pm;60.8767;-37.8926;84.33;14.3;M3
UCAC4 459-069590;Star;267.9845;1.7056;84.34;~;~
LP 70-260;pm;259.6008;68.0425;84.35;~;~
G 188-39;pm;330.6749;28.2994;84.35;~;~
BD+22 2742;pm;221.05;22.1853;84.36;9.9;K5V
L 68-145;pm;193.6212;-74.5023;84.37;11.9;~
HD 168871;pm;276.1381;-49.6529;84.37;6.5;G1/2V
HD 129642;pm;221.2906;-49.9163;84.37;9.1;K2+V
LP 81-30;pm;214.0474;23.3914;84.37;~;M1.0Ve
UCAC3 71-10590;pm;70.7976;-54.5938;84.38;14.7;~
LP 275-39;low;246.8259;35.6431;84.38;~;M7
L 800-18;pm;33.9537;-12.6743;84.38;13.0;M3
Ross 912;pm;175.9371;2.012;84.38;~;M3
HD 64090;pm;118.388;30.6051;84.39;8.3;K0:V_Fe-3
L 171-3;pm;12.5055;-54.5348;84.39;12.7;~
UPM J1731-0239;pm;262.7802;-2.655;84.39;15.0;~
BD-18 4031;pm;229.6648;-18.6266;84.40;10.3;K4V
LSR J1033+2559;pm;158.3351;25.9891;84.40;~;~
* sig Peg;pm;343.1003;9.8357;84.40;~;F6V
LSPM J0227+5432;dbl;36.8213;54.5466;84.41;~;M4.5+M5.0
UPM J1738-4738;pm;264.7151;-47.635;84.41;~;~
UCAC4 606-031635;pm;96.0318;31.01;84.41;~;~
2MASS J11383012-3957044;Star;174.6256;-39.9512;84.43;~;~
BD+11 2811;pm;231.9084;10.5942;84.43;~;K5V
BD+49 2743B;pm;272.7361;49.9716;84.44;~;~
HD 146800;pm;245.0749;-48.2258;84.44;8.9;K2.5V
UPM J2022+3541;pm;305.5214;35.6997;84.45;~;~
* 59 Dra;pm;287.2912;76.5605;84.46;5.1;A7V
G 198-19B;pm;180.8235;38.8799;84.46;~;~
** LDS 5667B;pm;89.0084;13.913;84.47;~;~
HD 154387;Star;256.8808;-48.2483;84.48;9.5;K4.5V
PM J12568+2329W;pm;194.2173;23.4973;84.49;13.2;M2.5
L 559-37;pm;271.839;-30.938;84.49;10.2;~
* 5 LMi;pm;132.6343;33.2851;84.49;6.2;F7Vs
[FS2003] 0325;pm;90.3564;-32.4199;84.50;~;M4
HD 77825;by;136.0862;-15.9143;84.51;8.8;K2V
UCAC4 364-070140;pm;235.6092;-17.2057;84.51;13.1;~
HD 108421B;pm;186.8073;27.0254;84.51;9.5;K4V
UPM J1752-4550;pm;268.0687;-45.8396;84.52;13.7;~
2MASS J16090463-7758574;pm;242.2693;-77.9826;84.53;~;~
HD 108421A;pm;186.8072;27.0247;84.53;9.0;K2V
** NSN 351B;pm;246.7595;-69.7369;84.53;~;~
G 261-16A;pm;298.4706;75.0281;84.53;~;~
SCR J0634-0753;pm;98.5999;-7.889;84.53;12.6;~
SSSPM J0219-1938;bd;34.8669;-19.6448;84.54;~;L2
RX J0752.3-5727;pm;118.0903;-57.4522;84.54;13.0;~
LP 833-14 B;pm;58.0963;-22.882;84.54;~;~
Gaia EDR3 4211671872797771648;pm;291.3011;-4.6397;84.55;~;~
Ross 369B;pm;48.6364;59.4378;84.55;~;~
UCAC4 139-013887;pm;126.1501;-62.2737;84.55;15.1;~
G 138-28;pm;246.6395;15.665;84.56;~;K4V
UCAC4 703-018007;pm;36.9282;50.5787;84.56;~;~
G 164-42A;pm;196.3745;37.1364;84.56;~;~
G 118-66;pm;157.5987;32.8371;84.57;~;M3.0Ve
PM J18044-0111B;pm;271.1208;-1.1916;84.57;~;~
L 339-106;pm;249.1148;-49.3099;84.58;12.4;M3
UPM J1752-4551;pm;268.0586;-45.8631;84.59;13.7;~
SCR J0719-5050;pm;109.8973;-50.8479;84.59;14.6;M4
LP 207-50;wd;118.3053;42.5005;84.59;~;DC
HD 151995;pm;252.522;18.9004;84.60;8.9;K3.5V
LP 74-23;pm;309.5671;63.8269;84.60;~;~
APMPM J0050-5152;pm;12.4091;-51.8683;84.61;~;~
2MASS J07051631-3340260;pm;106.3179;-33.6739;84.62;~;~
G 69-32;pm;13.7003;27.5177;84.62;~;M4.5V
StKM 1-873;pm;159.7369;25.0945;84.62;12.6;M2.0Ve
HD 199623;pm;315.0895;-51.2653;84.63;5.8;F5.5V
LSPM J2113+0846S;pm;318.435;8.7673;84.63;~;~
2MASS J20483385+1952450;pm;312.1411;19.8792;84.64;~;M4.0
CD-33 408;pm;16.8066;-32.4297;84.64;10.7;K7Vk:
Gaia EDR3 5329184189553837184;pm;129.1512;-48.6361;84.64;~;~
LSPM J0656+2211;pm;104.0369;22.1939;84.64;~;M6V
G 240-45B;pm;256.8672;64.6246;84.65;~;~
BD+40 2309;pm;153.7767;39.5169;84.65;~;K4V
UPM J2155-2803;pm;328.8961;-28.0507;84.65;~;~
HD 187748;pm;297.0644;59.4229;84.66;6.6;G0
LP 544-12;pm;120.586;3.3288;84.66;~;M6
HD 39881;pm;89.0143;13.9249;84.66;6.6;G8
G 80-20;pm;56.3165;4.0438;84.66;~;~
LP 711-2;pm;41.0631;-13.6042;84.66;15.5;~
LP 3-224;pm;56.203;81.8913;84.67;~;~
SIPS J1028-3959;pm;157.1042;-39.9897;84.67;~;~
UCAC4 461-006142;pm;63.4307;2.189;84.68;14.6;~
WT 1963;pm;195.0084;-28.7249;84.68;~;~
LP 833-14 A;pm;58.0966;-22.8825;84.68;~;~
PM J12017+1353;pm;180.4389;13.8975;84.69;12.7;~
LP 169-51;pm;172.5263;48.8064;84.69;~;~
SCR J0755-2742;pm;118.9365;-27.7019;84.69;~;~
StKM 1-288;Star;38.979;-19.7399;84.70;12.0;M0
LSPM J0552+0321;pm;88.1951;3.3505;84.70;~;~
LP 837-16;pm;85.7691;-26.5944;84.70;15.2;~
HD 215641;pm;341.7889;-32.6755;84.71;7.6;G8V
BPM 82931;pm;353.1286;-12.2643;84.71;10.6;M0Ve
2MASS J04533691-4750519;pm;73.4038;-47.8477;84.72;~;~
2MASS J21113929-8053558;pm;317.9138;-80.8989;84.72;~;~
2MASS J12330034-5020055;pm;188.2514;-50.3349;84.72;~;~
G 82-32;pm;68.5555;-1.0498;84.72;11.8;K7
G 201-7;pm;220.0012;48.2988;84.72;~;~
MCC 811;dbl;293.7762;8.4607;84.72;10.3;M0.5Ve
G 261-15B;pm;298.4584;75.0249;84.73;~;~
SDSS J092542.82+612012.9;wd;141.4285;61.3369;84.73;~;DA
* 51 Aql;Star;297.6949;-10.7635;84.73;5.4;F5VFe-1CH-0.7
UCAC4 234-175732;Star;298.2369;-43.3135;84.74;~;~
SIPS J1341-3052;bd;205.2984;-30.8807;84.74;~;L2.7:V
L 347-73;pm;291.6258;-48.6044;84.75;13.1;~
LSPM J2114+5052;pm;318.6344;50.8754;84.75;~;M2.5Ve
