id;type;x;y;dist;mag;spec
G 154-44;ev;271.8868;-15.9631;24.60;13.5;M4.0Ve
SCR J0740-4257;pm;115.0492;-42.9612;24.63;13.8;M4.5
CD-44 3045A;pm;104.4443;-44.2912;24.77;11.5;M3
CD-44 3045B;pm;104.4438;-44.2911;24.81;11.3;M3
G 122-49;pm;177.7405;48.3774;24.82;~;M4.5Ve
L 399-68;pm;190.1929;-43.5664;24.85;12.2;M3V
* chi Dra;dbl*;275.2641;72.7328;24.86;3.6;F7V
* pi.03 Ori;pm;72.46;6.9613;24.90;3.2;F6V
Wolf 437;pm;191.9859;9.7514;24.93;11.4;M3.5Ve
2MASSW J2148162+400359;bd;327.0679;40.0665;24.95;~;L7
G 262-15;pm;307.6335;65.4496;24.95;~;M3V
G 13-22;ev;183.569;0.624;24.96;~;M4.5Ve
L 674-15;pm;123.1704;-21.5519;25.05;12.1;M3.5V
EGGR 290;wd;89.1061;5.3635;25.05;14.1;DA8P
IRAS 21500+5903;pm;327.9097;59.2944;25.08;10.6;M3.9
BD+18 3421;pm;264.4723;18.5917;25.18;9.6;M1.5Ve
LAWD 26;wd;118.2839;-67.7921;25.21;14.1;DA9.0
* p Eri A;pm;24.9492;-56.1933;25.27;5.7;K2V
* p Eri B;pm;24.9482;-56.1964;25.29;5.8;K2V
L 173-19;pm;30.1595;-55.968;25.35;12.9;~
HD 217357;pm;345.0672;-22.5243;25.40;7.9;K7+Vk
Ross 318;ev;15.6343;71.6798;25.40;~;M3.0Ve
CD-68 47;dbl;17.5953;-67.445;25.41;9.8;M2.5V
* mu.02 Her B;pm;266.604;27.7168;25.63;~;~
G 207-16;dbl;286.9291;32.5449;25.67;11.3;M3V
LAWD 96;wd;0.5447;-43.1654;25.71;13.1;DAP5.8
* mu.01 Her;dbl;266.6148;27.7207;25.73;3.4;G5IV
* mu.02 Her A;pm;266.6049;27.7173;25.74;~;~
* mu.02 Her;dbl;266.6049;27.7173;25.76;~;M3.5V
Wolf 489;wd;204.1327;3.6794;25.77;~;DC9
G 227-29;pm;275.6129;62.0505;25.77;~;M4.0V
G 130-4;pm;355.7763;36.537;25.80;12.7;M4.5V
HD 32450A;pm;75.6186;-21.2567;25.81;8.7;K7
SCR J1138-7721;pm;174.5699;-77.3635;25.86;14.8;M5.0V
HD 32450;dbl;75.6186;-21.2567;25.86;8.3;K7V
SCR J1546-5534;pm;236.6737;-55.5799;25.91;~;M7.5
HD 32450B;pm;75.6183;-21.2566;25.97;10.6;~
UCAC4 747-070768;wd;327.9171;59.293;26.12;~;DAH
* bet CVn;dbl;188.4356;41.3575;26.14;4.3;G0V
Ross 64;pm;96.172;23.433;26.21;~;M4V
CD-37 10765B;pm;245.0132;-37.5301;26.22;~;M5:
CD-37 10765;pm;245.0146;-37.529;26.27;10.6;M3V
CD-32 5613;wd;130.3851;-32.9425;26.28;11.9;DA5.5
* 61 Vir;pm;199.6013;-18.3112;26.33;4.7;G6.5V
EGGR 453;wd;343.4724;-6.7818;26.34;15.7;DZ13
Wolf 461;ev;195.1397;5.6856;26.37;~;M4.5Ve
G 89-32;dbl;114.1047;7.0786;26.46;13.2;M4.5V
L 49-19;pm;343.9396;-75.4587;26.53;10.4;M3V
V* CD Cet;by;48.3455;4.7748;26.54;14.0;M4.5Ve
* zet Tuc;pm;5.0177;-64.8748;26.56;4.2;F9.5V
LP 502-56;pm;232.6264;9.4337;26.59;~;M5.5V
LP 666-9;low;133.4007;-3.4923;26.72;19.0;M9Ve
* chi01 Ori;rs;88.5958;20.2762;26.73;4.4;G0V
V* AP Col;ev;91.2173;-34.5599;26.74;13.0;M5
SIPS J1141-3624;pm;175.3397;-36.4096;26.81;13.1;M5
G 19-7;ev;254.2739;-4.349;26.85;12.3;dM4
LP 991-84;pm;24.8405;-39.6025;26.92;14.4;M4.5V
* ksi UMa B;dbl*;169.5452;31.5291;26.95;4.8;G2V
LSPM J0036+1821;bd;9.0671;18.3529;26.96;~;L3.5
HD 50281;pm;103.0752;-5.1737;26.98;6.6;K3.5V
HD 50281B;dbl;103.0752;-5.19;27.00;10.1;M2.5V
MCC 135;low;177.7806;35.272;27.05;9.8;M1.5V
* 41 Ara;pm;259.766;-46.6362;27.13;5.5;G9V
HD 192310;pm;303.8225;-27.033;27.19;5.7;K2+V
BD-05 5715;pm;332.4181;-4.6407;27.20;10.4;M3.5V
* 41 Ara B;pm;259.7624;-46.637;27.24;8.7;M0VpCa-3Cr-1
Ross 730;pm;286.7732;20.888;27.25;10.8;M2.0V
HD 349726;pm;286.805;20.877;27.25;10.8;M2V
L 32-8;pm;98.4449;-75.625;27.28;11.4;M3V
L 32-9;pm;98.4303;-75.63;27.28;10.5;M2V
HD 32147;pm;75.2042;-5.7537;27.29;6.2;K3+V
G 111-47;pm;119.5529;41.3037;27.31;13.9;M3.5Ve
V* FL Aqr;dbl*;339.6887;-20.6144;27.31;11.5;M3.5V
Ross 695;pm;186.2188;-18.2423;27.39;11.3;dM2.0
